"Data Source","World Development Indicators",

"Last Updated Date","2020-10-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Employment in services; male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Employment in services; male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.0049991607666","26.9090003967285","26.5970001220703","26.2649993896484","26.6410007476807","26.6079998016357","26.6340007781982","26.7280006408691","26.8129997253418","26.8349990844727","26.7999992370605","27.9930000305176","28.3880004882813","28.617000579834","29.1030006408691","29.5790004730225","30.443000793457","31.2290000915527","32.8030014038086","34.4249992370605","35.6549987792969","37.2249984741211","38.7449989318848","40.1749992370605","41.6599998474121","43.3479995727539","45.2000007629395","45.9809989929199","46.5719985961914","47.0830001831055",
"Angola","AGO","Employment in services; male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.0550003051758","53.1319999694824","53.2599983215332","53.5419998168945","53.7400016784668","53.9770011901855","54.0550003051758","54.2200012207031","54.5530014038086","54.8160018920898","54.7470016479492","55.0769996643066","55.2439994812012","55.5379981994629","53.6910018920898","51.6459999084473","49.5979995727539","47.648998260498","45.5089988708496","43.1730003356934","40.7610015869141","40.5779991149902","40.4620018005371","40.2960014343262","40.1720008850098","40.056999206543","40.265998840332","40.3349990844727","40.4550018310547","40.5950012207031",
"Albania","ALB","Employment in services; male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.8079986572266","34.7210006713867","35.1100006103516","35.5200004577637","36.0950012207031","37.265998840332","36.8559989929199","37.6290016174316","38.351001739502","38.6370010375977","39.0629997253418","39.0209999084473","39.3759994506836","39.7309989929199","39.9939994812012","39.9640007019043","39.9630012512207","39.9720001220703","38.3919982910156","38.0709991455078","36.875","39.9690017700195","40.6510009765625","40.8380012512207","41.2480010986328","41.8540000915527","42.5309982299805","43.0019989013672","43.2919998168945","43.5540008544922",
"Andorra","AND","Employment in services; male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Employment in services; male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.9841984789444","44.8721630493409","45.4302669713388","45.7849287174431","46.4184852117623","46.8990820462102","47.4594864606314","47.9250145033834","48.3570374578671","49.0012357369289","49.307712610283","50.027182740404","50.2512195523331","50.1661642850943","50.2522925937752","50.1732963804386","50.2065406938485","50.068327497146","50.5288008218214","50.6078461832014","51.1770251343869","51.3748445946636","51.793543019099","52.0914269238806","52.4632129782409","52.5368335468656","52.8765614534293","53.2783581568416","53.5055476039722","53.6506839848019",
"United Arab Emirates","ARE","Employment in services; male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.8199996948242","54.7470016479492","54.5779991149902","54.7050018310547","54.7350006103516","54.8569984436035","54.7220001220703","54.5929985046387","54.8740005493164","54.9850006103516","55.2470016479492","55.6720008850098","55.7039985656738","55.9379997253418","56.064998626709","55.6839981079102","55.3110008239746","55.048999786377","54.7159996032715","55.3279991149902","56.0169982910156","56.4900016784668","56.7050018310547","56.7929992675781","56.5250015258789","56.9529991149902","57.7029991149902","57.7910003662109","58.0629997253418","58.2400016784668",
"Argentina","ARG","Employment in services; male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.1129989624023","58.2929992675781","60.898998260498","61.4249992370605","64.3010025024414","65.4049987792969","63.8050003051758","63.9379997253418","66.0910034179688","67.4349975585938","68.3740005493164","70.6520004272461","69.2519989013672","67.1949996948242","66.3779983520508","65.8610000610352","65.2060012817383","64.765998840332","65.5070037841797","65.2300033569336","65.5149993896484","65.7289962768555","64.8440017700195","64.1809997558594","65.4420013427734","66.9150009155273","67.9309997558594","68.5709991455078","69.1949996948242","69.6709976196289",
"Armenia","ARM","Employment in services; male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.3600006103516","35.851001739502","35.9010009765625","36.0880012512207","36.4739990234375","36.9269981384277","37.2210006713867","37.8499984741211","38.1699981689453","38.4609985351563","39.1430015563965","39.6240005493164","40.0589981079102","40.4679985046387","40.6240005493164","40.7449989318848","41.2239990234375","40.0330009460449","38.8959999084473","41.6529998779297","41.2569999694824","42.0839996337891","44.9539985656738","45.9519996643066","45.6319999694824","46.6520004272461","48.1459999084473","48.6189994812012","48.9210014343262","49.1430015563965",
"American Samoa","ASM","Employment in services; male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
